congress,bill_number,url,word_count
105,1355,https://www.congress.gov/bill/105th-congress/senate-bill/1355/text?r=1&s=2&format=txt,176.0
105,1364,https://www.congress.gov/bill/105th-congress/senate-bill/1364/text?r=1&s=2&format=txt,6259.0
105,1377,https://www.congress.gov/bill/105th-congress/senate-bill/1377/text?r=1&s=2&format=txt,123.0
105,1378,https://www.congress.gov/bill/105th-congress/senate-bill/1378/text?r=1&s=2&format=txt,189.0
105,1379,https://www.congress.gov/bill/105th-congress/senate-bill/1379/text?r=1&s=2&format=txt,1490.0
105,1397,https://www.congress.gov/bill/105th-congress/senate-bill/1397/text?r=1&s=2&format=txt,3295.0
105,1408,https://www.congress.gov/bill/105th-congress/senate-bill/1408/text?r=1&s=2&format=txt,1497.0
105,1417,https://www.congress.gov/bill/105th-congress/senate-bill/1417/text?r=1&s=2&format=txt,1672.0
105,1505,https://www.congress.gov/bill/105th-congress/senate-bill/1505/text?r=1&s=2&format=txt,826.0
105,1507,https://www.congress.gov/bill/105th-congress/senate-bill/1507/text?r=1&s=2&format=txt,245.0
105,1519,https://www.congress.gov/bill/105th-congress/senate-bill/1519/text?r=1&s=2&format=txt,4254.0
105,1525,https://www.congress.gov/bill/105th-congress/senate-bill/1525/text?r=1&s=2&format=txt,459.0
105,1559,https://www.congress.gov/bill/105th-congress/senate-bill/1559/text?r=1&s=2&format=txt,350.0
105,1564,https://www.congress.gov/bill/105th-congress/senate-bill/1564/text?r=1&s=2&format=txt,1407.0
105,1565,https://www.congress.gov/bill/105th-congress/senate-bill/1565/text?r=1&s=2&format=txt,482.0
105,1575,https://www.congress.gov/bill/105th-congress/senate-bill/1575/text?r=1&s=2&format=txt,303.0
105,1605,https://www.congress.gov/bill/105th-congress/senate-bill/1605/text?r=1&s=2&format=txt,1557.0
105,1683,https://www.congress.gov/bill/105th-congress/senate-bill/1683/text?r=1&s=2&format=txt,410.0
105,1693,https://www.congress.gov/bill/105th-congress/senate-bill/1693/text?r=1&s=2&format=txt,11976.0
105,1695,https://www.congress.gov/bill/105th-congress/senate-bill/1695/text?r=1&s=2&format=txt,592.0
105,1718,https://www.congress.gov/bill/105th-congress/senate-bill/1718/text?r=1&s=2&format=txt,1477.0
105,1722,https://www.congress.gov/bill/105th-congress/senate-bill/1722/text?r=1&s=2&format=txt,1538.0
105,1733,https://www.congress.gov/bill/105th-congress/senate-bill/1733/text?r=1&s=2&format=txt,642.0
105,1754,https://www.congress.gov/bill/105th-congress/senate-bill/1754/text?r=1&s=2&format=txt,30905.0
105,1759,https://www.congress.gov/bill/105th-congress/senate-bill/1759/text?r=1&s=2&format=txt,1262.0
105,1800,https://www.congress.gov/bill/105th-congress/senate-bill/1800/text?r=1&s=2&format=txt,192.0
105,1883,https://www.congress.gov/bill/105th-congress/senate-bill/1883/text?r=1&s=2&format=txt,608.0
105,1892,https://www.congress.gov/bill/105th-congress/senate-bill/1892/text?r=1&s=2&format=txt,360.0
105,1900,https://www.congress.gov/bill/105th-congress/senate-bill/1900/text?r=1&s=2&format=txt,2785.0
105,1976,https://www.congress.gov/bill/105th-congress/senate-bill/1976/text?r=1&s=2&format=txt,767.0
105,2022,https://www.congress.gov/bill/105th-congress/senate-bill/2022/text?r=1&s=2&format=txt,6504.0
105,2069,https://www.congress.gov/bill/105th-congress/senate-bill/2069/text?r=1&s=2&format=txt,595.0
105,2071,https://www.congress.gov/bill/105th-congress/senate-bill/2071/text?r=1&s=2&format=txt,166.0
105,2094,https://www.congress.gov/bill/105th-congress/senate-bill/2094/text?r=1&s=2&format=txt,704.0
105,2106,https://www.congress.gov/bill/105th-congress/senate-bill/2106/text?r=1&s=2&format=txt,1604.0
105,2112,https://www.congress.gov/bill/105th-congress/senate-bill/2112/text?r=1&s=2&format=txt,606.0
105,2129,https://www.congress.gov/bill/105th-congress/senate-bill/2129/text?r=1&s=2&format=txt,176.0
105,2143,https://www.congress.gov/bill/105th-congress/senate-bill/2143/text?r=1&s=2&format=txt,271.0
105,2193,https://www.congress.gov/bill/105th-congress/senate-bill/2193/text?r=1&s=2&format=txt,3843.0
105,2206,https://www.congress.gov/bill/105th-congress/senate-bill/2206/text?r=1&s=2&format=txt,30331.0
105,2232,https://www.congress.gov/bill/105th-congress/senate-bill/2232/text?r=1&s=2&format=txt,1320.0
105,2235,https://www.congress.gov/bill/105th-congress/senate-bill/2235/text?r=1&s=2&format=txt,368.0
105,2240,https://www.congress.gov/bill/105th-congress/senate-bill/2240/text?r=1&s=2&format=txt,1202.0
105,2241,https://www.congress.gov/bill/105th-congress/senate-bill/2241/text?r=1&s=2&format=txt,264.0
105,2246,https://www.congress.gov/bill/105th-congress/senate-bill/2246/text?r=1&s=2&format=txt,200.0
105,2272,https://www.congress.gov/bill/105th-congress/senate-bill/2272/text?r=1&s=2&format=txt,236.0
105,2282,https://www.congress.gov/bill/105th-congress/senate-bill/2282/text?r=1&s=2&format=txt,221.0
105,2285,https://www.congress.gov/bill/105th-congress/senate-bill/2285/text?r=1&s=2&format=txt,1515.0
105,2316,https://www.congress.gov/bill/105th-congress/senate-bill/2316/text?r=1&s=2&format=txt,402.0
105,2344,https://www.congress.gov/bill/105th-congress/senate-bill/2344/text?r=1&s=2&format=txt,235.0
105,2364,https://www.congress.gov/bill/105th-congress/senate-bill/2364/text?r=1&s=2&format=txt,12853.0
105,2375,https://www.congress.gov/bill/105th-congress/senate-bill/2375/text?r=1&s=2&format=txt,5148.0
105,2392,https://www.congress.gov/bill/105th-congress/senate-bill/2392/text?r=1&s=2&format=txt,4205.0
105,2413,https://www.congress.gov/bill/105th-congress/senate-bill/2413/text?r=1&s=2&format=txt,232.0
105,2427,https://www.congress.gov/bill/105th-congress/senate-bill/2427/text?r=1&s=2&format=txt,134.0
105,2432,https://www.congress.gov/bill/105th-congress/senate-bill/2432/text?r=1&s=2&format=txt,14560.0
105,2468,https://www.congress.gov/bill/105th-congress/senate-bill/2468/text?r=1&s=2&format=txt,195.0
105,2500,https://www.congress.gov/bill/105th-congress/senate-bill/2500/text?r=1&s=2&format=txt,644.0
105,2505,https://www.congress.gov/bill/105th-congress/senate-bill/2505/text?r=1&s=2&format=txt,585.0
105,2524,https://www.congress.gov/bill/105th-congress/senate-bill/2524/text?r=1&s=2&format=txt,3270.0
105,2561,https://www.congress.gov/bill/105th-congress/senate-bill/2561/text?r=1&s=2&format=txt,1529.0
